"OP_ID","SPECIES","SAMPLE","LENGTH","WEIGHT","SEX","MATURITY"
69511,206,920106,264,111,,
70670,206,,211,,,
73101,206,,228,69,2,2
73171,206,,210,70,2,2
73176,206,,205,57,2,2
73176,206,,225,71,2,2
73176,206,,186,48,2,2
73428,206,,274,126,,
73443,206,,243,89,,
73446,206,,248,101,,
109702,206,,0,104.9,0,0
109702,206,,0,130.41,0,0
109703,206,,251,121.91,2,2
109704,206,,0,0,0,0
109704,206,,0,0,0,0
109704,206,,0,0,0,0
109704,206,,0,0,0,0
109704,206,,0,0,0,0
109704,206,,0,70.88,0,0
109707,206,,191,0,0,0
109707,206,,191,0,0,0
109707,206,,206,0,0,0
109707,206,,211,0,0,0
109707,206,,185,0,0,0
109707,206,,198,0,0,0
109707,206,,173,0,0,0
109707,206,,185,0,0,0
109707,206,,191,0,0,0
109707,206,,196,0,0,0
109707,206,,211,0,0,0
109707,206,,201,0,0,0
109707,206,,201,0,0,0
109707,206,,203,0,0,0
109707,206,,213,0,0,0
109709,206,,185,0,0,0
109709,206,,178,0,0,0
109709,206,,229,0,0,0
109709,206,,241,0,0,0
109709,206,,196,0,0,0
109709,206,,175,0,0,0
109709,206,,185,0,0,0
109709,206,,211,0,0,0
109709,206,,221,0,0,0
109716,206,,257,102.06,1,2
109723,206,,0,0,0,0
109723,206,,0,0,0,0
109723,206,,0,124.74,0,0
109726,206,,160,28.35,0,0
109726,206,,267,172.94,0,0
109727,206,,0,0,0,0
109728,206,,0,0,0,0
109728,206,,0,0,0,0
109728,206,,0,0,0,0
109728,206,,0,0,0,0
109728,206,,0,158.76,0,0
109729,206,,0,0,0,0
109729,206,,0,0,0,0
109729,206,,0,0,0,0
109729,206,,0,0,0,0
109729,206,,244,150.26,2,2
109729,206,,241,113.4,2,2
109729,206,,0,0,0,0
109729,206,,244,113.4,1,2
109729,206,,0,0,0,0
109730,206,,0,0,0,0
109730,206,,0,0,0,0
109730,206,,0,0,0,0
109730,206,,0,0,0,0
109730,206,,0,0,0,0
109730,206,,0,93.56,0,0
109730,206,,0,119.07,0,0
109731,206,,216,0,0,0
109731,206,,216,0,0,0
109731,206,,229,0,0,0
109731,206,,231,0,0,0
109731,206,,236,0,0,0
109731,206,,244,0,0,0
109731,206,,244,0,0,0
109731,206,,246,0,0,0
109731,206,,246,0,0,0
109731,206,,251,0,0,0
109731,206,,251,0,0,0
109731,206,,251,0,0,0
109731,206,,254,0,0,0
109731,206,,254,0,0,0
109731,206,,254,0,0,0
109731,206,,257,0,0,0
109731,206,,239,0,0,0
109731,206,,160,0,0,0
109731,206,,175,0,0,0
109731,206,,183,0,0,0
109731,206,,185,0,0,0
109731,206,,257,0,0,0
109731,206,,259,0,0,0
109731,206,,267,0,0,0
109731,206,,277,0,0,0
109731,206,,279,0,0,0
109731,206,,292,0,0,0
109731,206,,241,0,0,0
109731,206,,254,0,0,0
109731,206,,279,0,0,0
109731,206,,0,0,0,0
109731,206,,0,0,0,0
109731,206,,0,0,0,0
109731,206,,0,0,0,0
109731,206,,0,0,0,0
109731,206,,0,107.73,0,0
109731,206,,0,0,0,0
109731,206,,213,0,0,0
109731,206,,193,0,0,0
109731,206,,211,0,0,0
109731,206,,218,0,0,0
109731,206,,226,0,0,0
109731,206,,226,0,0,0
109731,206,,226,0,0,0
109731,206,,234,0,0,0
109731,206,,236,0,0,0
109731,206,,241,0,0,0
109731,206,,211,0,0,0
109731,206,,226,0,0,0
109731,206,,226,0,0,0
109731,206,,231,0,0,0
109731,206,,231,0,0,0
109731,206,,234,0,0,0
109731,206,,236,0,0,0
109731,206,,239,0,0,0
109731,206,,239,0,0,0
109731,206,,239,0,0,0
109731,206,,241,0,0,0
109731,206,,241,0,0,0
109731,206,,244,0,0,0
109731,206,,244,0,0,0
109731,206,,244,0,0,0
109731,206,,246,0,0,0
109731,206,,246,0,0,0
109731,206,,257,0,0,0
109731,206,,257,0,0,0
109731,206,,257,0,0,0
109731,206,,224,0,0,0
109731,206,,234,0,0,0
109731,206,,236,0,0,0
109731,206,,239,0,0,0
109731,206,,241,0,0,0
109731,206,,241,0,0,0
109731,206,,244,0,0,0
109731,206,,246,0,0,0
109731,206,,246,0,0,0
109731,206,,249,0,0,0
109731,206,,251,0,0,0
109731,206,,254,0,0,0
109731,206,,254,0,0,0
109731,206,,257,0,0,0
109731,206,,269,0,0,0
109731,206,,244,0,0,0
109731,206,,257,0,0,0
109731,206,,208,0,0,0
109732,206,,229,113.4,0,2
109732,206,,244,121.91,0,2
109732,206,,221,79.38,0,2
109732,206,,246,121.91,0,2
109732,206,,224,85.05,0,2
109732,206,,196,65.21,0,2
109732,206,,231,107.73,0,2
109732,206,,234,102.06,0,2
109732,206,,267,181.44,0,2
109732,206,,239,102.06,0,2
109732,206,,254,164.43,0,2
109732,206,,221,96.39,0,2
109732,206,,236,116.24,0,2
109732,206,,226,96.39,0,2
109732,206,,246,133.25,0,2
109732,206,,244,110.57,0,2
109732,206,,234,113.4,0,2
109732,206,,239,124.74,0,2
109732,206,,241,119.07,0,2
109732,206,,262,170.1,0,2
109732,206,,239,124.74,0,2
109732,206,,254,133.25,0,2
109732,206,,249,127.58,0,2
109732,206,,218,96.39,0,2
109732,206,,246,130.41,0,2
109732,206,,246,144.59,0,2
109732,206,,249,130.41,0,2
109732,206,,249,141.75,0,2
109732,206,,241,133.25,0,2
109732,206,,231,96.39,0,2
109732,206,,244,113.4,0,2
109732,206,,213,87.89,0,2
109732,206,,239,130.41,0,2
109732,206,,234,104.9,0,2
109732,206,,254,136.08,0,2
109732,206,,231,107.73,0,0
109732,206,,234,116.24,0,0
109732,206,,254,133.25,0,0
109732,206,,246,144.59,0,0
109732,206,,224,90.72,0,0
109732,206,,206,76.55,0,0
109732,206,,254,155.93,0,0
109732,206,,221,90.72,0,2
109732,206,,239,93.56,0,2
109732,206,,264,167.27,0,2
109732,206,,244,144.59,0,2
109732,206,,259,178.61,0,2
109732,206,,246,147.42,0,2
