"OP_ID","SPECIES","SAMPLE","LENGTH","WEIGHT","SEX","MATURITY"
71955,206,970029,195,41,,
71956,206,970034,212,52,,
71960,206,970061,207,54,,
71960,206,970060,198,50,,
71961,206,970065,185,26,,
71962,206,970069,193,40,,
71962,206,970068,196,40,,
71962,206,970066,252,90,,
71962,206,970067,228,66,,
71963,206,970070,194,51,,
71969,206,970137,208,48,,
71970,206,970138,203,40,,
73236,206,10325,263,100,,
73240,206,10396,235,84,,
73240,206,10395,218,65,,
73254,206,10003,148,,0,9
73254,206,10001,127,,0,1
73254,206,10002,133,14,0,1
73254,206,10004,291,,2,2
73269,206,10012,247,78,2,2
73269,206,10011,252,78,0,9
73269,206,10013,285,134,1,2
73272,206,10005,175,37,1,2
73272,206,10007,242,,1,2
73272,206,10009,284,,2,2
73272,206,10010,285,,2,2
73272,206,10006,222,,2,2
73272,206,10008,262,,2,2
73297,206,10014,153,,1,1
73297,206,10016,214,,2,2
73297,206,10017,252,,1,2
73297,206,10015,169,,1,2
73298,206,10020,202,,2,2
73298,206,10018,165,,1,2
73298,206,10021,219,,2,2
73298,206,10022,234,,2,2
73298,206,10019,161,,2,2
73320,206,10023,208,44,0,9
73324,206,10027,193,,0,9
73324,206,10029,222,,0,9
73324,206,10030,223,,0,9
73324,206,10032,257,,0,9
73324,206,10035,262,,0,9
73324,206,10036,267,,0,9
73324,206,10024,149,,0,9
73324,206,10026,168,,0,9
73324,206,10028,219,,0,9
73324,206,10031,225,,0,9
73324,206,10033,257,,0,9
73324,206,10025,150,,0,9
73324,206,10034,257,95,2,2
73403,206,,165,29,,
73937,206,20001,182,40,2,2
73940,206,20009,248,103,2,2
73940,206,20007,217,58,2,2
73940,206,20004,197,42,2,1
73940,206,20003,182,34,1,2
73940,206,20006,210,39,1,2
73940,206,20002,157,21,0,1
73940,206,20005,208,48,2,10
73940,206,20008,219,40,2,2
73942,206,20010,185,31,2,1
73942,206,20011,192,43,1,2
73951,206,20012,153,27,1,1
73951,206,20013,209,76,2,1
73967,206,20014,183,36,2,1
73969,206,20015,274,126,2,10
73996,206,20016,156,25,2,1
73996,206,20017,208,44,2,1
73998,206,20018,204,66,2,2
74173,206,,176,32,,
74182,206,,156,28,,
74309,206,30001,170,29,,
74309,206,30003,192,50,,
74309,206,30005,197,47,,
74309,206,30007,199,46,2,2
74309,206,30009,204,53,,
74309,206,30012,283,148,2,2
74309,206,30002,189,45,,
74309,206,30004,195,39,,
74309,206,30006,198,51,,
74309,206,30008,200,43,,
74309,206,30010,212,61,,
74309,206,30011,256,95,,
74478,206,,195,35,,
74478,206,,217,50,,
74478,206,,211,41,,
74478,206,,184,31,,
74478,206,,222,63,,
74478,206,,173,25,,
74478,206,,180,26,,
74478,206,,205,55,,
74478,206,,212,70,,
74478,206,,213,51,,
74478,206,,192,39,,
74478,206,,188,34,,
74478,206,,92,4,,
74478,206,,176,22,,
74478,206,,179,25,,
74478,206,,183,35,,
74478,206,,210,56,,
74478,206,,207,61,,
74478,206,,220,67,,
74478,206,,192,33,,
74478,206,,187,35,,
74481,206,,196,59,,
74485,206,,218,76,,
74485,206,,218,65,,
74485,206,,195,49,,
74489,206,,174,32,,
74489,206,,178,30,,
74489,206,,195,42,,
74489,206,,158,28,,
74489,206,,212,60,,
74489,206,,189,42,,
74489,206,,218,66,,
74489,206,,189,36,,
74489,206,,186,42,,
74489,206,,197,38,,
74490,206,,216,113,,
74491,206,,220,72,,
74491,206,,182,38,,
74491,206,,194,46,,
74492,206,,204,55,,
74492,206,,195,59,,
74492,206,,188,47,,
74492,206,,190,40,,
74492,206,,178,35,,
74492,206,,209,58,,
74492,206,,191,40,,
74492,206,,215,70,,
74492,206,,183,40,,
74492,206,,193,48,,
74492,206,,177,35,,
74492,206,,200,61,,
